first_name;last_name;email;phone;employee_id;avatar;department_id;gender;age;created_at;updated_at
Hoang;Nam;hoangnam176@gmail.com;0953088353;5764;avata736;2;male;26;2023-09-26 09:56:26;2023-09-26 09:56:26
Tuan;Vu;tuanvu644@gmail.com;0945570188;4571;avata819;4;male;33;2023-09-27 09:56:26;2023-09-27 09:56:26
Hung;Dam;hungdam414@gmail.com;0790421495;5329;avata593;3;male;32;2023-09-28 09:56:26;2023-09-28 09:56:26
Ngo;Phuong;nguphuong73@gmail.com;0538979114;6012;avata695;4;female;41;2023-09-29 09:56:26;2023-09-29 09:56:26
Hai;Tu;haitu490@gmail.com;0353221191;6165;avata972;3;male;18;2023-09-30 09:56:26;2023-09-30 09:56:26
Minh;Trang;minhtrang818@gmail.com;0162202892;9016;avata823;3;female;21;2023-10-01 09:56:26;2023-10-01 09:56:26
Tran;Kien;trankien966@gmail.com;0744524275;5057;avata764;2;male;30;2023-10-02 09:56:26;2023-10-02 09:56:26
Tuan;Anh;tuananh131@gmail.com;0265325769;4754;avata943;1;male;32;2023-10-03 09:56:26;2023-10-03 09:56:26
Le;Ha;leha946@gmail.com;0715288094;9865;avata487;2;female;35;2023-10-04 09:56:26;2023-10-04 09:56:26
Bao;Quyen;baoquyen54@gmail.com;0718744854;7224;avata926;4;female;40;2023-10-05 09:56:26;2023-10-05 09:56:26
Le;Mai;lemai388@gmail.com;0673804320;9943;avata764;3;female;23;2023-10-06 09:56:26;2023-10-06 09:56:26
Trung;Nguyen;trungnguyen892@gmail.com;0716110091;7469;avata593;1;male;20;2023-10-07 09:56:26;2023-10-07 09:56:26
Tai;Trong;taitrong803@gmail.com;0339474811;6591;avata647;1;male;39;2023-10-08 09:56:26;2023-10-08 09:56:26
Bao;Le;baole221@gmail.com;0495404442;4725;avata808;3;male;30;2023-10-09 09:56:26;2023-10-09 09:56:26
